id,word,example_en,example_ja
B200001,abandoned,The abandoned house at the end of the street has become a haunt for stray cats.,通りの最後にある見捨てられた家は、野良猫たちのたまり場になってしまった。
B200002,abnormally,The price of real estate has been rising abnormally in Japan.,不動産の価格が日本では異常なほどに高騰してきた。
B200003,abolish,The government decided to abolish the old law.,政府は古い法律を廃止することを決定した。
B200004,aboriginal,The aboriginal people have a rich cultural heritage.,土着の人々は豊かな文化遺産を持っています。
B200005,abruptly,The meeting ended abruptly when the fire alarm went off.,火災警報が鳴ったとき、会議は突然終了した。
B200006,absentee,The teacher took attendance and noticed there was one absentee.,先生が出席を取り、一人の欠席者がいることに気づいた。
B200007,absurd,His explanation was so absurd that everyone laughed.,彼の説明はあまりに馬鹿げていて、誰もが笑ってしまった。
B200008,abuse,The government has launched a campaign to combat drug abuse.,政府は薬物乱用を撲滅するキャンペーンを開始しました。
B200009,access,The cave is easy to access.,その洞穴は近づきやすい。
B200010,accessibility,The new building has been designed with accessibility in mind.,新しい建物はアクセシビリティを考慮して設計されました。
B200011,accommodation,I need to find a suitable accommodation for my vacation.,私は休暇のために適切な宿泊先を見つける必要があります。
B200012,accordingly,"The weather was bad, so accordingly, we cancelled our picnic.",天気が悪かったので、従って、私たちはピクニックをキャンセルしました。
B200013,accumulate,"Over time, he managed to accumulate a vast collection of rare books.",時間をかけて彼は珍しい本の大量のコレクションを蓄積することができました。
B200014,accusation,He made a false accusation against her.,彼は彼女に対して虚偽の告発をした。
B200015,ache,My heart aches for the starving children in Africa.,アフリカの飢えに苦しむ子供たちの事を思うと胸がいたむ。
B200016,achievable,"I admire your goals, but are they achievable?",あなたの目標は素晴らしいと思いますが、達成可能ですか？
B200017,acid,The solution turned red because it was acid.,その溶液は酸性だったので赤くなった。
B200018,acquisition,The acquisition of a new language can be a challenging but rewarding process.,新しい言語の習得は、困難だが見返りのあるプロセスになるでしょう。
B200019,actively,She is actively participating in the community service.,彼女は積極的に地域奉仕活動に参加しています。
B200020,actual,The actual situation is far from what we expected.,現実の状況は、私たちが期待していたものからはほど遠いです。
B200021,acute,The eagle has an acute vision that allows it to spot its prey from a great distance.,鷲は鋭い視力を持っており、遠くから獲物を見つけることができます。
B200022,adaptable,The adaptable software can adjust to any changes in the system.,その順応性のあるソフトウェアは、システムの変更に対応できます。
B200023,addict,He is an addict to video games.,彼はビデオゲーム中毒者です。
B200024,addicted,She is addicted to alcohol.,彼女はアルコール中毒だ。
B200025,addiction,His addiction to video games is causing concern among his family members.,彼のビデオゲームへの熱中は家族の間で心配の種となっている。
B200026,additionally,"Additionally, I would like to add that the project is due next week.",それに加えて、プロジェクトの締切は来週です
B200027,adequate,The hotel provided adequate facilities for the conference.,ホテルは会議のために十分な設備を提供しました。
B200028,adequately,The company adequately addressed the concerns of its customers.,会社は顧客の懸念事項に適切に対応しました。
B200029,adjustment,The company made an adjustment to resolve the conflict between the two departments.,会社は2つの部門間の対立を解決するための調整を行いました。
B200030,administrative,The administrative procedures in this office are quite complex.,このオフィスの行政手続きはかなり複雑です。
B200031,admirable,His dedication to his work is truly admirable.,彼の仕事への献身は本当に賞賛に値する。
B200032,admiringly,She was gazing at him admiringly.,彼女は彼を賛美の目でじっと見ていた。
B200033,admittedly,"Admittedly, I was wrong about the situation.",確かに、私はその状況について間違っていました。
B200034,adopted,The adopted child lived a happy life with her new family.,養子になった子どもは新しい家族と幸せな人生を送った。
B200035,adoption,The adoption process can be long and complex.,養子縁組のプロセスは長くて複雑なことがあります。
B200036,adore,I absolutely adore my little sister.,私は妹を絶対に深く愛しています。
B200037,adorn,She decided to adorn her dress with beautiful pearls to make it more attractive.,彼女はドレスをより魅力的にするために、美しいパールで飾ることにしました。
B200038,advance,Send your baggage in advance.,荷物は先に送っておきなさい。
B200039,advancement,Technological advancements have greatly improved our lives.,技術の進歩により、私たちの生活は大幅に改善されました。
B200040,advent,The advent of technology has revolutionized our lives.,技術の出現は私たちの生活を革命的に変えました。
B200041,adventurous,She is always looking for adventurous activities to try.,彼女はいつも何か冒険的なことを試してみようと探している。
B200042,adverse,He experienced an adverse reaction to the medicine.,彼はその薬に対して副作用を経験しました。
B200043,adversely,"If long-term beds are reduced, then it won't be possible to do that and normal sickbeds will also be adversely affected.",療養病床が減ればそれができず、一般病床の医療にも支障をきたします。
B200044,adversity,She faced adversity with courage and determination.,彼女は勇気と決意を持って逆境に立ち向かった。
B200045,affectionate,She gave me an affectionate hug.,彼女は私に愛情のこもったハグをくれました。
B200046,affectionately,She affectionately hugged her son before he left for school.,彼女は学校に行く前に、愛情をこめて息子を抱きしめた。
B200047,affordable,This restaurant offers affordable meals for everyone.,このレストランは手ごろな価格で誰でも食事ができます。
B200048,ageless,She has an ageless beauty.,彼女は年を取らないような美しさを持っています。
B200049,aggressively,The company is competing aggressively in the market.,企業は市場で競争を積極的に行っている。
B200050,agonize,She continued to agonize over the decision she had to make.,彼女は自分が下さなければならない決断について、苦しみもだえ続けた。
B200051,agony,The agony of his loss was unbearable.,彼の失ったものに対する苦悶は耐えがたかった。
B200052,aim,He is aiming for the directorship.,彼は役員の地位をねらっている。
B200053,aircraft,The aircraft is ready for takeoff.,その航空機は離陸の準備ができています。
B200054,aircrew,The aircrew prepared for takeoff.,航空機乗組員は離陸の準備をしました。
B200055,alcoholic,He decided to quit being an alcoholic.,彼はアルコール依存症をやめると決意しました。
B200056,alcoholism,Alcoholism is a serious problem that affects many people around the world.,アルコール中毒は世界中の多くの人々に影響を与える深刻な問題です。
B200057,alert,The alert soldier spotted the enemy before anyone else.,その油断のない兵士は、他の誰よりも先に敵を見つけた。
B200058,allegation,The police are investigating the allegation that the suspect stole the car.,警察は、容疑者が車を盗んだという申し立てを捜査している。
B200059,alliance,The two nations formed a powerful alliance to combat their common enemy.,二つの国家は共通の敵と戦うために強力な同盟を結成した。
B200060,ally,The allies condemned the invasion as a violation of UN resolutions.,同盟諸国はその侵略行為が国連決議に違反するとして、厳しく非難した。
B200061,alongside,The boat was alongside the quay.,そのボートは波止場につながれていた。
B200062,alphabetical,Please arrange these files in alphabetical order.,これらのファイルをアルファベット順に並べてください。
B200063,altar,The couple exchanged vows in front of the beautifully decorated altar.,夫婦は美しく飾られた祭壇の前で誓いを交わしました。
B200064,alter,The tailor had to alter the dress to fit me.,仕立て屋は私に合うようにドレスを直さなければなりませんでした。
B200065,alternate,The traffic lights alternate between red and green.,信号は赤と緑が交互に変わります。
B200066,alternatively,"You can take the bus to work, or alternatively, you can ride your bike.",仕事にはバスで行くこともできますが、あるいは自転車に乗ることもできます。
B200067,altitude,The altitude of this mountain is quite high.,この山の高度はかなり高いです。
B200068,aluminum,The soda can is made of aluminum.,そのソーダ缶はアルミニウムでできています。
B200069,amaze,The magician's tricks never fail to amaze the audience.,そのマジシャンのトリックは、観客を必ず驚かせます。
B200070,amazement,His magic trick filled the audience with amazement.,彼のマジックトリックは観客をびっくり仰天させた。
B200071,amazingly,"Amazingly, the old man recovered his health.",驚くべきことに、その老人は健康を回復した。
B200072,ambassador,The ambassador is scheduled to meet with the foreign minister tomorrow.,大使は明日、外務大臣と会う予定です。
B200073,ambiguity,The ambiguity of his statement caused a lot of confusion.,彼の発言のあいまいさが多くの混乱を引き起こした。
B200074,ambiguous,His response was ambiguous and could be interpreted in various ways.,彼の反応は曖昧で、いろいろな意味にとれました。
B200075,ammonia,The pungent smell in the room was due to a leak in the ammonia tank.,部屋の刺激的な臭いはアンモニアタンクの漏れが原因でした。
B200076,amongst,The truth is often found hidden amongst the lies.,真実はしばしば嘘の間に隠されて見つかるものです。
B200077,ample,There is ample space in the garden for a swimming pool.,庭にはプールを設置するための十分なスペースがあります。
B200078,amplifier,The sound quality of the concert was greatly improved by the use of an amplifier.,コンサートの音質は、アンプ（増幅器）の使用により大幅に向上しました。
B200079,amplify,They used a microphone to amplify their voices.,彼らはマイクを使って声を拡大しました。
B200080,amuse,The clown's antics never fail to amuse the children.,道化師の道化は、子供たちを必ず楽しませます。
B200081,analogy,The teacher used an analogy between a heart and a pump to explain how the circulatory system works.,先生は心臓とポンプの例えを使って循環器系がどのように機能するかを説明しました。
B200082,analyst,The analyst carefully analyzed the situation and provided a detailed report.,分析者は状況を注意深く分析し、詳細なレポートを提供しました。
B200083,anchor,The sailor dropped the anchor into the sea.,船員は海にいかりを落とした。
B200084,anchorage,The ship found a safe anchorage in the harbor.,船は港で安全な停泊地を見つけた。
B200085,anchorman,The anchorman on the evening news is very popular.,夕方のニュースのアンカーマンは非常に人気があります。
B200086,anchorperson,"With her calm demeanor and sharp wit, the veteran anchorperson has become a fixture in the evening news landscape.",落ち着いた物腰と鋭いウィットで知られるベテラン司会者は夕方のニュース界にすっかり定着した。
B200087,anguish,She cried out in anguish when she received the devastating news.,彼女は壊滅的なニュースを受けた時、苦しみの中で叫びました。
B200088,animate,The artist used his brush to animate the characters in the painting.,画家は筆を使って絵の中のキャラクターに生命を吹き込みました。
B200089,anonymous,The author of this poem remains anonymous.,この詩の作者は未だに作者不明です。
B200090,antiaircraft,The military deployed antiaircraft weapons to protect against enemy air attacks.,軍は敵の空襲から守るために対空兵器を展開しました。
B200091,antibacterial,This soap has an antibacterial effect.,この石鹸は抗菌効果があります。
B200092,anticancer,They are bent on developing a new anticancer drug soon.,彼らは新しい抗がん剤を早期に開発しようと意気込んでいる。
B200093,anticipate,I anticipate that the meeting will end early today.,私は今日の会議が早く終わると予想しています。
B200094,anticipation,I am filled with anticipation for the upcoming concert.,今度のコンサートへの期待でいっぱいだ。
B200095,antipollution,The government is implementing new antipollution measures to protect the environment.,政府は、環境を守るために新しい反汚染対策を実施している
B200096,antique,The antique furniture has a unique charm.,古い家具は独特な魅力がある。
B200097,antistatic,This antistatic mat prevents static electricity from damaging the electronic components.,この抗静電マットは、静電気が電子部品を破損するのを防ぎます。
B200098,antivirus,You should install antivirus software.,あなたはウイルス対策ソフトをインストールした方がいい。
B200099,apostrophe,I can't believe it!,信じられない！
B200100,appeal,He appealed to our emotions.,彼は我々の感情に訴えた。
B200101,applicant,The applicant must submit all necessary documents.,申請者は必要な全ての書類を提出しなければなりません。
B200102,appreciative,I am appreciative of the beautiful artwork.,美しい芸術作品に鑑賞的です。
B200103,approach,They approached the problem differently.,彼らは問題に異なるアプローチをした。
B200104,appropriately,He responded appropriately to the situation.,彼は適切に状況に対応しました。
B200105,approximate,The approximate time of arrival is around 3 pm.,到着のおおよその時間は午後3時頃です。
B200106,arch,The arch of the bridge was beautifully illuminated at night.,その橋のアーチは夜になると美しく照らされていた。
B200107,archaeologist,The archaeologist discovered an ancient artifact during the excavation.,その考古学者は発掘中に古代の遺物を発見しました。
B200108,arctic,The arctic region is known for its extreme cold weather.,北極地域は、その極端な寒さで知られています。
B200109,arena,The gladiators fought bravely in the arena.,剣闘士たちは闘技場で勇敢に戦った。
B200110,aristocracy,The aristocracy ruled the country for many years.,貴族政治は何年もの間、その国を支配していた。
B200111,armful,She carried an armful of books.,彼女は本を腕いっぱいに持っていました。
B200112,arouse,The loud noise outside my window was enough to arouse me from my deep sleep.,窓の外からの大きな音は、私を深い眠りから起こすのに十分でした。
B200113,arrogant,His arrogant attitude made him unpopular among his peers.,彼のその傲慢な態度は仲間内でも評判が悪かった。
B200114,artery,The coronary artery supplies blood to the heart muscle.,冠動脈は心筋に血液を供給します。
B200115,articulate,She can articulate her thoughts very clearly.,彼女は自分の考えをはっきりと言うことができる。
B200116,artificially,Rainmaking is a technique used to artificially induce rainfall.,人工降雨法は人工的に降雨を引き起こす技術です。
B200117,artistry,Her artistry in painting creates a mesmerizing effect.,彼女の絵画の芸術的効果は魅惑的な効果を生み出します。
B200118,ash,The ash from the volcano covered the entire town.,火山の灰が町全体を覆った。
B200119,aspiration,His aspiration to become a successful entrepreneur is truly inspiring.,彼の成功した起業家になるという大望は本当に感動的です。
B200120,aspire,She aspires to become a successful entrepreneur.,彼女は成功した起業家になることを大望しています。
B200121,assault,The police are investigating the assault that happened last night.,警察は昨夜発生した暴行事件を調査しています。
B200122,assemble,We need to assemble a team of experts for this project.,このプロジェクトのために、専門家のチームを集める必要があります。
B200123,assembly,The assembly of the new machine took longer than expected.,新しい機械の組み立ては予想よりも時間がかかった。
B200124,assert,He asserted that he was innocent.,彼は自分が無害であると主張した。
B200125,assess,The teacher will assess the students' performance in the final exam.,先生は最終試験での生徒たちのパフォーマンスを評価するでしょう。
B200126,assessment,"After completing the project, the team gathered to discuss the results and conduct a thorough assessment of their performance.",プロジェクトの完了後、チームは結果について話し合い、パフォーマンスの徹底的な評価を行うために集まりました。
B200127,assumption,"Your conclusion is based on an assumption, not on evidence.",あなたの結論は仮定に基づいており、証拠ではありません。
B200128,assurance,I need your assurance that you will complete the project on time.,あなたがプロジェクトを時間通りに完成させるという保証が必要です。
B200129,assure,I assure you that everything will be alright.,私はあなたに全てが大丈夫になることを保証します。
B200130,astonish,Her talent for singing will astonish you.,彼女の歌唱力はあなたを驚かせるでしょう。
B200131,astonished,How astonished I was to see this.,これを見たときの私の驚きといったら。
B200132,astonishing,The astonishing fact is that he has never missed a day of work in his life.,驚くべき事実は、彼が今まで一度も欠勤したことがないということです。
B200133,astonishment,His sudden arrival was a source of great astonishment.,彼の突然の到着は大いなる驚きの源でした。
B200134,astronomy,I have always been fascinated by astronomy.,私はいつも天文学に魅了されています。
B200135,athletics,I am very interested in athletics.,私は運動競技にとても興味があります。
B200136,attached,A card was attached to the gift.,贈り物にはカードが添えられてあった。
B200137,attainable,Setting realistic goals is important to ensure that they are attainable.,現実的な目標を設定することは重要であり、それらが達せられることを保証するために必要です。
B200138,attainment,Hard work and determination are key to the attainment of success.,努力と決意は成功を達成するのに不可欠です。
B200139,attendance,Your regular attendance at the meetings is crucial for the project's success.,プロジェクトの成功のためには、あなたが会議に定期的に出席することが重要です。
B200140,attentive,The attentive teacher noticed that one of her students was struggling.,注意深い先生は、彼女の生徒の一人が苦労していることに気づいた。
B200141,attentively,They were listening to the lecture attentively.,彼らは講義を熱心に聞いていた
B200142,attractiveness,The government has been working on enhancing the attractiveness of the country as an investment destination.,政府は投資先としての国の魅力を高めるために取り組んでいる。
B200143,attribute,He had all the attributes of a leader.,彼は指導者の資質を全て持っていた。
B200144,attribute,The director attributes the film's success to its innovative visual style.,監督は映画の成功を、その革新的な映像表現に帰属させている。
B200145,atypical,Her taste in music is atypical.,彼女の音楽の好みは型にはまらない。
B200146,aubergine,I love cooking with aubergine.,私はナスを使った料理が大好きです。
B200147,audit,The company hired an external auditor to conduct a thorough audit of its financial statements.,会社は外部の監査人を雇い、財務諸表の徹底的な監査を行いました。
B200148,audition,I have an audition for a new TV show next week.,来週、新しいテレビ番組のオーディションがあります。
B200149,authoritative,He is an authoritative figure in the industry.,彼はその業界で信頼すべき存在です。
B200150,authorize,The manager will authorize you to access the confidential files.,マネージャーはあなたに機密ファイルへのアクセス権を与えます。
B200151,availability,Please check the availability of the conference room for tomorrow.,明日の会議室の利用可能性を確認してください。
B200152,await,I will await your reply.,私はあなたの返事を待つでしょう。
B200153,awe,The grandeur of the mountains filled me with awe.,山々の壮大さに、私は畏敬の念を抱いた。
B200154,ax,He used an ax to chop the wood.,彼は木を切るためにおのを使った。
B200155,axis,The earth rotates on its axis.,地球はその軸上で回転します。
B200156,backup,I always keep a backup supply of food in case of emergencies.,緊急時のために、常に食料の予備を持っています。
B200157,backward,He took a step backward when he saw the snake.,彼は蛇を見て後方へ一歩下がった。
B200158,backyard,I spent the whole afternoon gardening in my backyard.,私は午後中ずっと裏庭でガーデニングをしていました。
B200159,badge,He proudly wore his badge on his uniform.,彼は自慢げに制服に記章をつけていた。
B200160,bad-tempered,My boss is often bad-tempered in the morning.,私の上司はよく朝に気難しい。
B200161,balance,I need to balance my work and personal life.,仕事とプライベートのバランスを取る必要があります。
B200162,balanced,"Despite the challenges, he remained balanced and resolute.",困難にもかかわらず、彼は意志強固でバランスを保ち続けました。
B200163,balky,The balky horse suddenly stopped in its tracks.,気難しい馬は突然立ち止まった。
B200164,ballad,She sang a beautiful ballad at the concert.,彼女はコンサートで美しい民謡を歌った。
B200165,ballet,I am learning ballet to improve my posture.,私は姿勢を改善するためにバレエを学んでいます。
B200166,ballot,I filled out my ballot for the upcoming election.,私は今後の選挙のために私の投票用紙を記入しました。
B200167,ban,The government issued a ban on smoking in public places.,政府は公共の場所での喫煙を禁止する命令を出しました。
