id,word,expectedPos,answer1,answer2,answer3,answer4,answer5
A200001,ability,n,〈U〉能力,《複数形で》特殊な才能,,,
A200002,abroad,adv,海外へ(で),《古》戸外へ,広く,(うわさなどが)広まって,,
A200003,accept,v,(喜んで)〈物〉を受け取る,〈提案・決定など〉を受諾する,〈弁解・説明・理論など〉を認める,〈責任・任務など〉を引き受ける,〈人〉を受け入れる
A200004,acceptable,adj,受け入れられる,人に喜ばれる,,,
A200005,accident,n,〈C〉偶然,〈C〉事故,,,
A200006,account,n,〈C〉口座,報告,理論,記述, 会計記録,つけ
A200007,achieve,v,目標・成功などを)達成する,能力・技術などを)身につける,勝利・名声などを)獲得する,勝ち取る,
A200008,across,adv,横切って,広範囲にわたって,向こう側に,,
A200009,across,prep,を横切って,と交差して,の向こう側に,,
A200010,act,v,行動する,《様態を表す副詞[句]を伴って》わざとふるまう,〈人・物が〉(～として)動く,〈薬が〉作用する,舞台に立つ
A200011,actually,adv,(まさかと思うだろうが)実際に,本当に,意外と,やっぱり,驚くことに
A200012,addition,n,〈U〉付け加えること,追加,足し算〈C〉加えられた物,,
A200013,additional,adj,付け加えた,特別の,,,
A200014,adjective,n,形容詞({略}adj.),形容詞の,,,
A200015,adjust,v,〈他〉を調整する,《～に》を合わせる 《to ～》,を調停する,〈自〉《～に》順応する,
A200016,admire,v,～に感嘆する,を賞賛する,,,
A200017,admit,v,〈他〉を認める,を入れる,を収容できる,,
A200018,adult,adj,おとなの,成人向きの,,,
A200019,adult,n,**おとな**,成人,,,
A200020,advanced,adj,進出した,進歩した,上級の,(時が)進んだ,
A200021,advantage,n,利点,有利,,,
A200022,adventure,n,〈U〉〈C〉冒険,〈C〉珍しい経験,=venture,,
A200023,advertisement,n,〈C〉広告,宣伝,,,
A200024,advertising,n,《集合的に》広告,広告業,広告の,,,
A200025,advice,n,〈U〉忠告,〈U〉〈C〉(商業取引上の)通知,《複数形で》報道,,,
A200026,advise,v,〈他〉を忠告する,〈自〉《～について》忠告する 《on ～》,,,
A200027,affair,n,〈C〉(個人的に関心・関係のある)事,事件,《複数形で》仕事,,
A200028,after,adv,《順序・時》後に,その後,,,
A200029,against,prep,～に対して,《保護を表す動詞と共に》～から,～にぶつかって,～にもたれて,～に備えて
A200030,aged,adj,年とった,,,,
A200031,agency,n,〈C〉代理店,(政府の)機関,〈U〉(事の達成を助ける)力,仲介,
A200032,agent,n,代理人,周旋人,働き(作用)を起こすもの,作用物,政府機関
A200033,ahead,adv,(空間的に)前方に,《~ of ～》～の前に,(時間的に)前に,他よりまさって,
A200034,air,n,空気,,,,
A200035,aisle,n,〈C〉(教会・劇場・列車・旅客機などの)座席間の通路,側廊(教会堂で本堂(nave)の両側にある通路,,,
A200036,alarm,n,〈C〉警報,〈C〉(不意に危険を感じた時の)恐怖,,,
A200037,alarm clock,n,目覚まし時計,,,,
A200038,alive,adj,生きている,現存している,活動している,生き生きした,
A200039,all,adv,すっかり,《くだけて》ひどく,《all the+比較級の形で》かえって,どちらも,
A200040,allow,v,〈他〉〈事〉を許す,《したいと思っていたことを》～にさせる,《～のために》～を用意しておく,,
A200041,alone,adj,たったひとりの,《名詞・代名詞のすぐ後に用いて》ただ～だけ,,,
A200042,along,prep,～をたどって,～の間に([during]),,,
A200043,alright,adj,=[all right],事が)かまわない,《～にとって》都合がいい 《for ～》,うまく行っている,
A200044,alright,adv,《副詞的に》順調に,《確認》わかりましたか,《確信・くだけて》確かに,《同意》わかりました,《喜び》やったぞ
A200045,although,conj,～ではあるが,～だが,,,
A200046,ambition,n,大望,〈C〉大望(野心)の対象(目的,,,
A200047,among,prep,～の間に,《おもに最上級と共に》～の中の一つ,《分配を表す動詞と共に》～の間で,,
A200048,amused,adj,おもしろがった,,,,
A200049,amusement,n,〈U〉楽しみ,〈C〉楽しみごと,,,
A200050,ancestor,n,(一人の)先祖,事物の)原型,(生物の)原型種,,
A200051,ancient,adj,古代の,《おどけて》とても歳をとった,,,
A200052,angel,n,天使,(美しさ・親切さなどで)天使のような人,守護神,,
A200053,angrily,adv,おこって,腹を立てて,,,
A200054,ankle,n,足首,くるぶし,,,
A200055,anniversary,n,(年ごとの)記念日,記念日の,,,
A200056,annoy,v,〈他〉を困らせる,を悩ませる,をいらいらさせる〈自〉やっかいである,悩みの種である,
A200057,annoying,adj,うるさい,迷惑な,,,
A200058,another,pron,もう一つ,別のもの(人),似たもの,,
A200059,anxious,adj,《～を》心配している,《be ~ to do》～を切望して,,,
A200060,anymore,adv,もはや,これ以上,さらに(～ない、しない),《非標準・肯定文・文尾・文頭で》近ごろ,
A200061,anyway,adv,《通例文頭》さて,とにかく,いずれにせよ,《通例文尾》そもそも,
A200062,anywhere,adv,《疑問文・条件節で》どこかへ(に),《肯定文で》どこにでも,数量が)(～から～まで)ぐらい,,
A200063,apart,adv,《～から》離れて 《from ～》,区別して,《～と》別々に 《from ～》,ばらばらに,
A200064,apartment,n,アパート,豪華な居室,部屋,貸し室,
A200065,apologize,v,〈自〉《～に～について》わびる,弁解する,《～を》弁護する 《for ～》,,
A200066,apparently,adv,《推測》どうも～らしい,《疑念》外見上は,《矛盾》(思っていたことと違い)実は,《確信》明白に,
A200067,appear,v,〈自〉姿を現す,《～のように》見える,,,
A200068,appearance,n,〈C〉現れること,〈U〉〈C〉外観,《複数形で》形勢,
A200069,apply,v,〈他〉《～に》を適応する 《to ～》,《～に》を当てる 《to ～》,《～に》(心・努力など)を傾ける 《to ～》,〈自〉《～に》適用される 《to ～》,《～に～を》申し込む
A200070,appointment,n,〈C〉(時・場所を決めて会う)《～との》約束《with ～》,〈U〉任命,《～を～として》任命すること《of ～ as ～》,〈C〉(任命された)官職,《複数形で》(特に家庭の)設備
A200071,appreciate,v,〈他〉(よさ・価値など)を認める,(作品など)を味わう、観賞する,好意など)をありがたく思う,〈自〉価値(価格),
A200072,appropriate,adj,《～に》適切な,《～に》特有な《to ～》,,,
A200073,architecture,n,〈U〉建築術,〈U〉〈C〉(ある時代・国などの)建築様式,(一般に)構成,,
A200074,area,n,〈U〉〈C〉面積,〈C〉地域,〈C〉(活動・研究・興味などの及ぶ)範囲,,
A200075,argue,v,《～と～について》議論する,～を議論する,《～するように》～を説得する 《into ～》,,
A200076,argument,n,〈U〉〈C〉議論,〈C〉論拠,《文》(本・詩などの)要旨,,
A200077,armchair,n,ひじ掛けいす,,,,
A200078,armed,adj,武装した,(ある目的のために)用意した,,,
A200079,around,adv,周囲に,あちこちに,近辺に,,
A200080,artificial,adj,人工の,模造の,不自然な,,
A200081,as,conj,同じぐらい,《比較》～ほど,《様態・程度》～のように,《同時》～のときに([when]), ～の間に,《話》《原因・理由》～だから
A200082,asleep,adj,眠って,永眠して,しびれて,,
A200083,assistant,adj,補助の,副～,助～,,
A200084,association,n,協会、組合,,,,
A200085,astronaut,n,宇宙飛行士,,,,
A200086,athlete,n,競技者,強壮な人,《英》陸上競技選手,,,
A200087,atom,n,原子,微量,,,
A200088,attack,n,〈U〉〈C〉(～に対する)攻撃,(,ゲームの)攻め,非難《+on|upon》,〈C〉発病,〈U〉(仕事への)着手,,
A200089,attack,v,～を襲う,(演説・文書などで)～を非難する,〈病気・不運などが〉～を襲う,〈仕事など〉‘に'勢いよく取りかかる,攻撃をする
A200090,attempt,n,〈C〉企て,試み,,,
A200091,attention,n,〈U〉(～に対する)注意,〈U〉世話,《複数形で》親切,〈U〉「気をつけ」の号令,
A200092,attitude,n,〈U〉《人・物に対する》態度,,,,
A200093,attractive,adj,魅力のある,引力のある,,,
A200094,audience,n,聴衆,観客,,,
A200095,audio,adj,(電波の)可聴周波の,テレビの)音声[部門],,,
A200096,author,n,著者,(～の)創始者,ある著者の)著書,,
A200097,automatic,adj,自動の,(行動などが)無意識の,銃砲が)自動式の,自動機械,自動式ライフル(ピストル)
A200098,automatically,adv,自動的に,無意識に,,,
A200099,average,adj,平均の,普通の,,,
A200100,average,n,〈C〉平均,平均値,,,
A200101,avoid,v,を避ける,(契約など)を無効にする,,,
A200102,award,n,〈C〉賞,賞品,,,
A200103,awful,adj,(光景・事故などが)恐ろしい,《話》(行為が)ひどい,《話》(程度が)大きい,《俗》ひどく,
A200104,back,adj,《名詞の前にのみ用いて》後ろの,後もどりする,,,
A200105,background,n,(景色・絵などの)背景,模様などの)地,(事件などの)背景,人の)経歴,
A200106,badly,adv,悪く,大いに,,,
A200107,badminton,n,バドミントン,,,,
A200108,bake,v,(特にオーブンで)〈食物〉を焼く,〈れんがなど〉を焼き固める,〈太陽が〉～を焦がす,(日にあたって)〈皮膚など〉を焼く,〈パンなどが〉焼ける,〈土地・人などが〉日に焼ける
A200109,balcony,n,バルコニー,(劇場の)2階さじき,,,
A200110,balloon,n,〈C〉風船,気球,吹き出し,,
