id,word,example_en,example_ja
A200001,ability,She has the ability to speak multiple languages.,彼女は複数の言語を話す能力を持っています。
A200002,abroad,I am planning to study abroad next year.,私は来年、海外で勉強する予定です。
A200003,accept,I gladly accept your generous gift.,喜んであなたの寛大な贈り物を受け取ります。
A200004,acceptable,Your proposal is perfectly acceptable.,あなたの提案は完全に受け入れられます。
A200005,accident,The meeting with my best friend in the city was a happy accident.,都市での親友との出会いは幸せな偶然だった。
A200006,account,I need to create a new account on this website.,このウェブサイトで新しいアカウントを作成する必要があります。
A200007,achieve,She achieved her dream of becoming a famous actress.,彼女は有名な女優になる夢を実現した。
A200008,across,He ran across the field.,彼はフィールドを横切って走った。
A200009,across,The cat ran quickly across the street.,猫は素早く通りを横切った。
A200010,act,The soldier acted bravely.,その兵士は勇敢に振る舞った。
A200011,actually,"Actually, I have never been to Paris.",実際に、私はパリに行ったことがありません。
A200012,addition,The addition of these two numbers equals ten.,これら 2 つの数字を足すと 10 になります。
A200013,additional,I need to make an additional comment on the report.,私はレポートに追加のコメントを付け加える必要があります。
A200014,adjective,The adjective 'beautiful' describes the scenery.,形容詞の '美しい' は風景を表現しています。
A200015,adjust,I need to adjust the settings of my computer.,私はコンピュータの設定を調整する必要があります。
A200016,admire,I admire your courage and determination.,あなたの勇気と決断力に感嘆します。
A200017,admit,I admit to being careless.,僕が不注意なことは認める。
A200018,adult,The railroad fare for children is half of the adult fare.,鉄道の料金は子供は大人の半額だ。
A200019,adult,"This movie is for adults, not for children.",この映画は大人向けであり、子供向けではない。
A200020,advanced,The company has advanced into the international market.,その会社は国際市場に進出した。
A200021,advantage,The advantage of living in the city is the convenience of public transportation.,都市に住む利点は公共交通の利便性です。
A200022,adventure,I'm always ready for a new adventure.,私はいつでも新しい冒険の準備ができている。
A200023,advertisement,The advertisement for the new product was very appealing.,新製品の広告は非常に魅力的だった。
A200024,advertising,The company spends a lot of money on advertising every year.,その会社は毎年、広告に多くのお金を使っています。
A200025,advice,I appreciate your advice.,あなたの忠告に感謝します。
A200026,advise,I advise you to take a break.,あなたには休憩を取ることを勧めます。
A200027,affair,The affair of the missing necklace became the talk of the town.,行方不明のネックレスの件は町の話題になった。
A200028,after,I will meet you after work.,仕事の後に会います。
A200029,against,She stood up against the injustice.,彼女は不公平に対して立ち上がった。
A200030,aged,She is aged and wise.,彼女は年をとって賢いです。
A200031,agency,I work for a travel agency that specializes in international tours.,私は国際ツアーを専門とする旅行代理店で働いています。
A200032,agent,The agent signed the contract on behalf of the company.,代理人は会社を代表して契約書に署名した。
A200033,ahead,The road ahead is clear.,前方の道路は開けています。
A200034,air,The radio station will air the concert live.,そのラジオ局はコンサートを生放送する。
A200035,aisle,I found the book I was looking for in the aisle.,私は通路で探していた本を見つけました。
A200036,alarm,There is no cause for undue alarm.,過度に心配する必要はない。
A200037,alarm clock,I forgot to set my alarm clock last night.,昨晩、目覚まし時計をセットするのを忘れてしまった。
A200038,alive,The cat is still alive.,その猫はまだ生きている。
A200039,all,She studied all night for the exam.,彼女は試験のために一晩中勉強しました。
A200040,allow,They allow pets in their apartment.,彼らはアパートでペットを飼うことを許しています。
A200041,alone,She prefers to be alone.,彼女は一人でいることを好む。
A200042,along,I walked along the river.,私は川沿いを歩きました。
A200043,alright,"Everything is alright, don't worry.",何も問題ない、心配しないで。
A200044,alright,"Alright, let's go to the park.",いいよ、公園に行こう。
A200045,although,"Although it was raining, we decided to go for a walk.",雨が降っていたが、私たちは散歩に行くことに決めた。
A200046,ambition,His ambition to become a successful entrepreneur is truly inspiring.,彼が成功した起業家になるという大望は本当に感動的です。
A200047,among,She was among the first to arrive at the party.,彼女はパーティーに最初に到着した人々の中にいました。
A200048,amused,She was amused by his witty remarks.,彼女は彼の機知に富んだ発言におもしろがった。
A200049,amusement,The amusement park is full of joy and excitement.,遊園地は喜びと興奮でいっぱいです。
A200050,ancestor,My ancestor was a brave warrior.,私の先祖は勇敢な戦士でした。
A200051,ancient,The ancient ruins were discovered in the heart of the city.,古代の遺跡は都市の中心部で発見されました。
A200052,angel,The angel descended from the heavens with a message of peace.,天使が平和のメッセージを持って天から降りてきました。
A200053,angrily,He slammed the door angrily.,彼は怒ってドアをバタンと閉めた。
A200054,ankle,I sprained my ankle while playing soccer.,サッカーをしている時に足首を捻挫しました。
A200055,anniversary,Today is our 10th wedding anniversary.,今日は私たちの結婚10周年記念日です。
A200056,annoy,It really annoys me when you don't clean up after yourself.,あなたが自分の後片付けをしないと、本当にイライラします。
A200057,annoying,Your constant chatter is really annoying.,あなたの絶え間ないおしゃべりは本当にうるさい。
A200058,another,"I don't like this shirt, can I try another?",このシャツは好きではありません、別のものを試してもいいですか？
A200059,anxious,She was anxious about her upcoming job interview.,彼女はこれからの就職面接について心配していました。
A200060,anymore,I don't enjoy playing video games anymore.,もはやビデオゲームを楽しむことはありません。
A200061,anyway,"Anyway, let's get back to the topic.",さて、話題に戻りましょう。
A200062,anywhere,Can we go anywhere for our vacation?,私たちは休暇にどこかへ行くことができますか？
A200063,apart,They live apart from each other.,彼らはお互いから離れて暮らしています。
A200064,apartment,I live in a small apartment in the city.,私は都市の小さなアパートに住んでいます。
A200065,apologize,I must apologize for my late arrival.,私の遅刻について謝らなければなりません。
A200066,apparently,"Apparently, he missed the last train home.",どうやら彼は最終電車に乗り遅れたようだ。
A200067,appear,The sun will appear at dawn.,太陽は夜明けに現れます。
A200068,appearance,The sudden appearance of the comet in the sky surprised everyone.,空に突然彗星が現れたことは皆を驚かせました。
A200069,apply,I decided to apply for the job after much consideration.,よく考えた結果、その仕事に応募することにしました。
A200070,appointment,I have an appointment with the doctor tomorrow.,明日、医者の予約があります。
A200071,appreciate,I really appreciate your help.,あなたの助けを本当に感謝しています。
A200072,appropriate,It's appropriate to wear formal attire to the event.,そのイベントにはフォーマルな服装を着るのが適切です。
A200073,architecture,The architecture of the building is stunning.,建物の建築は見事です。
A200074,area,The area of this room is 20 square meters.,この部屋の面積は20平方メートルです。
A200075,argue,They often argue about politics and social issues.,彼らはよく政治や社会問題について議論します。
A200076,argument,I had a heated argument with my friend yesterday.,昨日、友達と激しい口論をしました。
A200077,armchair,I spent the whole afternoon reading a book in my favorite armchair.,私はお気に入りのアームチェアに座って、午後中ずっと本を読んでいました。
A200078,armed,The armed forces are ready for the mission.,武装した軍隊は任務の準備ができています。
A200079,around,I usually jog around the park in the morning.,私は通常、朝に公園の周りをジョギングします。
A200080,artificial,The artificial intelligence industry is rapidly growing.,人工知能産業は急速に成長しています。
A200081,as,She is as tall as her brother.,彼女は彼女の兄と同じぐらいの背が高いです。
A200082,asleep,She was so tired that she fell asleep on the couch.,彼女はとても疲れていたので、ソファーで眠ってしまった。
A200083,assistant,The young man whom I employed as my assistant works very hard.,私が助手に雇った青年はとてもよく働く。
A200084,association,I am a member of the local photography association.,私は地元の写真協会のメンバーです。
A200085,astronaut,The astronaut is preparing for his next mission.,その宇宙飛行士は次のミッションの準備をしています。
A200086,athlete,The athlete trained hard every day to improve his performance.,その競技者は、パフォーマンスを向上させるために毎日厳しくトレーニングしていました。
A200087,atom,The atom is the basic unit of a chemical element.,原子は化学元素の基本単位です。
A200088,attack,The bear suddenly attacked the campers.,その熊は突然キャンパーたちを襲った。
A200089,attack,They attacked the enemy.,彼らは敵を攻撃した。
A200090,attempt,This is my fifth attempt.,これは私の5回目の試みです。
A200091,attention,Please pay attention to the traffic signals.,交通信号に注意してください。
A200092,attitude,Your attitude towards work is commendable.,あなたの仕事に対する態度は称賛に値します。
A200093,attractive,She has an attractive personality that everyone loves.,彼女は誰もが愛する魅力的な性格を持っています。
A200094,audience,The audience was captivated by the stunning performance.,聴衆はその見事なパフォーマンスに魅了されました。
A200095,audio,The audio frequency of this radio is very clear.,このラジオの音声周波数は非常にクリアだ。
A200096,author,The author of this book is very famous.,この本の著者はとても有名です。
A200097,automatic,The door opens automatically when you approach it.,あなたが近づくと、ドアは自動的に開きます。
A200098,automatically,The doors will automatically close after you exit.,あなたが出ると、ドアは自動的に閉まります。
A200099,average,He was a man of average height.,彼は平均的な背丈だ。
A200100,average,The average height of the students in the class is 160 centimeters.,クラスの生徒の平均身長は160センチメートルです。
A200101,avoid,We should avoid eating too much junk food.,私たちはジャンクフードを食べすぎるのを避けるべきです。
A200102,award,She was nominated for the award.,彼女はその賞の候補に指名されました。
A200103,awful,The aftermath of the earthquake was an awful sight.,地震の後の光景は恐ろしいものだった。
A200104,back,He felt for his matches and found them in his back pocket.,マッチがないか手でさわってみたら、うしろのポケットに入っているのに気がついた。
A200105,background,The background of the painting was a beautiful sunset.,その絵の背景は美しい夕日だった。
A200106,badly,He played the piano badly.,彼はピアノを下手に弾いた。
A200107,badminton,I play badminton every weekend.,私は毎週末、バドミントンをします。
A200108,bake,I love to bake cookies during the holiday season.,私は休暇の季節にクッキーを焼くのが大好きです。
A200109,balcony,I enjoy drinking coffee on the balcony in the morning.,私は朝、バルコニーでコーヒーを飲むのが好きです。
A200110,balloon,I saw a colorful balloon floating in the sky.,私は空に浮かんでいる色とりどりの風船を見ました。
A200111,bank,I like to bank my savings in a high-interest account.,私は高い利息の口座に貯金するのが好きです。
A200112,banking,The banking industry has been facing numerous challenges in recent years.,銀行業界は近年、数多くの課題に直面しています。
A200113,barbecue,We'll have a barbecue at the beach.,海岸でバーベキューをしよう。
A200114,barber,The barber gave me a nice haircut yesterday.,昨日、理髪師が私に素敵な髪型を作ってくれました。
A200115,bargain,I found a great bargain at the flea market.,私はフリーマーケットで素晴らしい掘り出し物を見つけました。
A200116,base,The base of the tower is made of concrete.,塔の基礎はコンクリートでできています。
A200117,basic,This is a basic course for beginners.,これは初心者向けの基礎コースです。
A200118,basically,"Basically, I prefer tea over coffee.",基本的に、私はコーヒーよりも紅茶を好む。
A200119,basket,I put the apples in the basket.,私はリンゴをかごに入れました。
A200120,batch,The second batch of bread [[came out|come out]] underdone.,2回目に焼いたパンは生焼けという結果になった。
A200121,battery,"The battery in my phone died, so I couldn't make any calls.",私の携帯のバッテリーが切れたので、電話ができませんでした。
A200122,bay,The sun was setting over the bay.,太陽が湾に沈んでいた。
A200123,bear,The bear is climbing the tree.,その熊は木に登っています。
A200124,beauty,The beauty of the sunset was breathtaking.,夕日の美しさは息をのむほどだった。
A200125,been,I have been to Paris twice.,私はパリに2回行ったことがあります。
A200126,beer,I enjoy drinking beer with my friends.,私は友達とビールを飲むのが楽しいです。
A200127,before,Please finish your homework before you go out.,外出する前に宿題を終わらせてください。
A200128,beg,The homeless man had to beg for food and clothing.,そのホームレスの男性は食べ物や衣服をくださいと頼む必要がありました。
A200129,beginner,"As a beginner, I find it challenging to understand complex concepts.",初心者として、複雑なコンセプトを理解するのは難しいと思う。
A200130,beginning,This is the beginning of a new chapter in my life.,これは私の人生の新しい章の始まりです。
A200131,behavior,His behavior at the party was unacceptable.,彼のパーティーでの行動は許容範囲外でした。
A200132,being,The being of the universe is a profound mystery.,宇宙の存在は深遠な謎である。
A200133,belly,I have a belly ache after eating too much.,食べ過ぎて腹痛があります。
