id,word,expectedPos,answer1,answer2,answer3,answer4,answer5
B100001,abandon,v,を捨て去る,を断念する,,,
B100002,able,adj,《 be ~ to do》《～することが》できる,有能な,,,
B100003,abnormal,adj,異常な,普通でない,規準をはずれた,,
B100004,aboard,adv,(船・航空機・列車などに)乗って,,,,
B100005,aborigine,n,原住民,《通例複数形で》土着の動物(植物),,,
B100006,above,adj,前述の,上の,,,
B100007,absence,n,〈U〉〈C〉留守,欠席,〈U〉《～が》ないこと《of ～》,
B100008,absent,adj,欠席した,(物が)欠けている,《名詞の前にのみ用いて》放心した,(～から)〈人〉を欠席させる《+名+from+名》,
B100009,absolute,adj,まったくの,絶対的な力を持った,確かな,無条件の,文法で)独立の
B100010,absolutely,adv,絶対的に,無条件に,《話》(返事や合いの手として)そのとおり,,
B100011,absorb,v,【動,他】を吸収する,〈心・注意・時間〉をすっかり奪う,,
B100012,abstract,adj,抽象的な,理論的な,,,
B100013,abundance,n,(あり余るほど)たくさん,《an~》たくさん(の～)《+of+名》,,,
B100014,abundant,adj,豊富な,十分な,,,
B100015,academic,adj,学園の,(職業教育に対して)純粋学問の,理論的な,,
B100016,academy,n,学士院,《米》私立中等(高等)学校,(特殊教育の)専門学校,,
B100017,accent,n,〈C〉〈U〉アクセント,〈C〉(言葉の)なまり,《複数形で》口調,〈C〉〈U〉強調,
B100018,acceptance,n,〈U〉受け取ること,〈U〉(手形の)引受け,〈C〉引受済み手形,,,
B100019,access,n,【名,U】《人・物・場所への》接近 《to ～》,《～への》接近の機会,C】《～へ》接近する手段(方法)《to ～》,
B100020,accessible,adj,(またget-at-able)近づきやすい,《補語にのみ用いて》(感情などに)動かされやすい,,,
B100021,accessory,n,〈C〉《通例複数形で》《～への》付属品,(法律用語で)従犯者,,,
B100022,accidental,adj,偶然の,(音楽の)臨時記号,,,
B100023,accidentally,adv,偶然に,思いがけなく、誤って、うっかりと,,,
B100024,accompany,v,【動,他】(人など)に同行する,に付随して起こる,(歌・歌手)の伴奏をする,
B100025,accomplish,v,仕事・目的など)を成し遂げる,旅などを)終える,年齢など)に達する,,
B100026,according to,prep,～によると,～に合わせて,,,
B100027,account,v,〖for A〗Aを占める,Aを説明する,,,
B100028,accountant,n,〈C〉会計係,会計士,計理士,,
B100029,accuracy,n,〈U〉正確さ,正確なこと,精度,,
B100030,accurate,adj,【形】正確な,的確な,精密な,,
B100031,accurately,adv,【副】正確に,精密に,,,
B100032,accuse,v,《～の罪で》～を訴える,《～であると》～を非難する 《～ of ～》,,,
B100033,accustom,v,〈他〉を慣らす,,,,
B100034,ache,n,《しばしば複合語を作って》(継続的な鈍い)痛み,うずき,,,
B100035,achievement,n,〈U〉(～の)成就(じょうじゅ),〈U〉業績,,,
B100036,acknowledge,v,を認める,を承認する,を受け取ったことを知らせる,に礼を言う,
B100037,acknowledgment,n,〈U〉(～を)認めること,〈C〉(手紙・贈物などの)受領の通知,〈U〉感謝,,
B100038,acquaintance,n,〈C〉(それほど親密ではない)知り合い,〈U〉《時にa~》《 ～を》知っていること,,,
B100039,acquire,v,取得する,,,,
B100040,act,v,行い,《しばしばA-》法令,《しばしばA-》(芝居の1つの)幕,(演芸などの)出し物の一つ,(見せかけの)お芝居,
B100041,active,adj,活動的な,有効な,(軍務で)現役の,積極的な,能動態の
B100042,actress,n,〈C〉女優,,,,
B100043,ad,n,〈C〉｟くだけて｠ 広告,,,,
B100044,adapt,v,《～に》～を適応させる 《to ～》,《～向きに》～を脚色する 《for ～》,《～に》適応する,,
B100045,address,v,《かたく》(問題・課題など)に取り組む,《～と》〈人〉に話しかける,～に宛てて手紙を出す,《人にあてて》～のあて名を書いて出す《to ～》,～に演説する
B100046,addressee,n,受信人,名あて人,,,
B100047,administration,n,統治,管理,管理者,当局者,執行
B100048,admiration,n,〈U〉《～に対する》賞賛,《the ~ of ～》《～の》賞賛の的,,,
B100049,admission,n,〈U〉《場所・学校・会などへ》入ることを許すこと《to ～》,《～への》入場料 《to ～》,〈C〉(事実・誤りなどを)認めること,,
B100050,adopt,v,採用する,取り入れる,養子にする,,
B100051,adorable,adj,《話》ほれぼれする,敬愛すべき,,,
B100052,advance,v,を前進させる,,《～に向かって》前進する 《on》,,,
B100053,adverb,n,副詞({略}ad.),adv.,,,
B100054,adverbial,adj,副詞の,副詞的な,,,
B100055,advert,n,〈英〉〈C〉《～の》広告,《～の》手本《for ～》,,,
B100056,advertise,v,～を広告する,《～を求めて》広告を出す《for ～》,,,
B100057,adviser,n,忠告者,《米》(大学の)新入生指導教師,,,
B100058,aerobics,n,エアロビクス,エアロビック運動,有酸素運動,,
B100059,affect,v,影響を与える,,,,
B100060,affection,n,〈U〉《～に対する》愛情,〈C〉(体のある部分の)病気,,,
B100061,afford,v,《[can],《[can ~ to do|afford to]》～できる余裕がある,《文》〈物・事が〉～を与える,,
B100062,after,conj,《時》～した後で(に),してから,,,
B100063,afterward,adv,あとで,以後,,,
B100064,agenda,n,会議事項,備忘録,,,
B100065,aggressive,adj,侵略的な,積極的な,,,
B100066,agreement,n,〈U〉《～についての》一致,〈C〉(2者以上の間で結ばれた)協定,,,
B100067,agricultural,adj,農業の,農耕の,農学の,,
B100068,agriculture,n,農業,農学,,,
B100069,aid,n,〈U〉助力,手当て〈C〉助けとなるもの,,,
B100070,aid,v,【動,他】を援助する,自】助けとなる,,
B100071,aim,n,目的、目標、狙い,,,,
B100072,air-conditioning,n,(室内の)空気調節,冷暖房,,,
B100073,air force,n,〈U〉〈C〉空軍,《A-F-》米国空軍,,,
B100074,airline,n,〈C〉定期航空,(空港・航空機などの)定期航空設備,定期航空会社,,
B100075,alarm,v,に警報する,を怖がらせる,,,
B100076,alcohol,n,〈U〉アルコール,アルコール飲料,,,
B100077,alcoholic,adj,アルコールの,アルコールのはいった,アルコール漬けの,アルコール中毒の,,
B100078,alike,adj,(外見が)似ている,同様である,,,
B100079,alike,adv,同じように,等しく,,,
B100080,allergic,adj,アレルギー性の,(～に)アレルギーを起こす《+to+名》,《補語にのみ用いて》《話》(～に)神経過敏の,,,
B100081,allowance,n,〈C〉認めること,許容,容認,許容量,割り当て
B100082,aloud,adv,声を出して,大声で(loudly),,,
B100083,alphabet,n,〈C〉アルファベット(言語の音声を表す記号の体係をいい),《the ~》初歩,,,
B100084,alternative,adj,二者択一の,代わりの,普通とは違った,,
B100085,alternative,n,〈C〉二者択一,代わりのもの,選択肢,,,
